url,label
http://bankofamerica-secure-center.com/secure/check,1
http://amazon.security-check.ml/alert/update,2
http://secure-confirm@evil-steam.live/login,2
https://github.com/help,0
https://amazon.com/docs,0
http://secure-alert@evil-icloud.gq/login,2
https://bankofamerica-support-center.com/login/account,1
https://paypal-alert-portal.com/recover/account,1
http://netflix.security-check.ml/confirm/update,2
https://amazon.com/contact,0
http://nytimes.com,0
https://bankofamerica-secure-portal.com/billing/account,1
http://icloud-secure-notice.com/alert/account,1
http://steam-verify-portal.com/login/account,1
http://secure-support@evil-microsoft.site/login,2
https://apple.com,0
http://2.191.144.77/support/free,2
https://apple.com/about,0
https://microsoft.com/about,0
http://netflix-confirm-service.com/recover/session,1
https://linkedin.com/docs,0
https://python.org/contact,0
http://steam.security-check.top/login/update,2
https://chase-support-notice.com/update/check,1
http://secure-update@evil-paypal.xyz/login,2
https://nytimes.com,0
https://microsoft-update-service.com/secure/user,1
http://t.co/apple-support-465,2
http://3.70.87.85/verify/free,2
http://amazon.verify-user.su/secure/now,2
https://wikipedia.org/products,0
http://bankofamerica-login-portal.com/confirm/account,1
https://bankofamerica-support-notice.com/verify/session,1
http://secure-update@evil-google.live/login,2
http://google-billing-notice.com/update/session,1
https://amazon-update-portal.com/billing/user,1
http://t.co/bankofamerica-billing-323,2
http://google-secure-service.com/support/user,1
http://199.194.94.227/alert/free,2
https://github.com,0
http://9.182.166.222/secure/free,2
http://t.co/apple-alert-430,2
https://mit.edu/docs,0
http://youtube.com/docs,0
https://amazon-recover-service.com/verify/account,1
https://stackoverflow.com/docs,0
https://cloudflare.com,0
http://30.177.228.62/signin/free,2
http://apple.verify-user.su/update/now,2
http://khanacademy.org/help,0
https://nytimes.com/contact,0
https://google-update-center.com/alert/session,1
https://github.com/help,0
http://wikipedia.org/help,0
https://netflix-secure-service.com/alert/session,1
https://nytimes.com/help,0
http://chase-support-service.com/alert/session,1
http://icloud.verify-user.su/support/now,2
https://bbc.com/help,0
http://microsoft.com/contact,0
https://dropbox.com/products,0
http://177.83.30.56/recover/free,2
http://is.gd/steam-verify-774,2
http://chase.security-check.tk/login/update,2
http://secure-confirm@evil-amazon.ru/login,2
http://steam.security-check.site/signin/update,2
https://chase-recover-service.com/alert/account,1
http://steam.security-check.gq/confirm/update,2
http://bankofamerica-alert-service.com/signin/check,1
http://cloudflare.com/contact,0
http://canva.com/docs,0
https://bankofamerica-update-notice.com/verify/check,1
http://apple.verify-user.cn/secure/now,2
http://tinyurl.com/amazon-update-202,2
http://chase-verify-portal.com/secure/check,1
http://chase-alert-service.com/login/account,1
https://slack.com,0
http://steam-signin-portal.com/verify/account,1
http://bit.ly/chase-alert-843,2
http://stackoverflow.com/help,0
http://netflix.verify-user.su/alert/now,2
http://stackoverflow.com/contact,0
http://secure-secure@evil-bankofamerica.site/login,2
https://stackoverflow.com,0
http://cloudflare.com/products,0
https://youtube.com/products,0
http://icloud.verify-user.ru/confirm/now,2
http://google-support-portal.com/verify/user,1
http://stackoverflow.com/about,0
http://chase-recover-service.com/signin/user,1
http://notion.so/products,0
http://steam.security-check.site/confirm/update,2
https://microsoft.com/products,0
https://bbc.com/help,0
https://linkedin.com/about,0
http://linkedin.com/docs,0
http://steam.security-check.site/support/update,2
https://steam-billing-center.com/login/session,1
https://apple-verify-notice.com/billing/user,1
https://harvard.edu/about,0
http://chase-login-notice.com/login/session,1
http://netflix.security-check.ru/alert/update,2
https://khanacademy.org/help,0
http://73.224.195.102/support/free,2
http://chase.security-check.live/secure/update,2
https://dropbox.com/docs,0
http://chase-update-notice.com/billing/user,1
https://github.com/help,0
https://chase-alert-service.com/billing/user,1
https://amazon-alert-portal.com/verify/account,1
https://bankofamerica-alert-portal.com/alert/session,1
http://github.com/about,0
https://mit.edu,0
https://khanacademy.org/about,0
http://secure-signin@evil-paypal.click/login,2
http://microsoft-secure-notice.com/login/session,1
https://stanford.edu/products,0
http://paypal.security-check.click/secure/update,2
https://openai.com/help,0
http://microsoft-confirm-notice.com/support/user,1
https://cloudflare.com/about,0
https://canva.com,0
http://steam-alert-center.com/verify/check,1
http://google.com/contact,0
http://is.gd/amazon-recover-378,2
http://tinyurl.com/steam-verify-360,2
https://amazon-signin-center.com/update/session,1
https://microsoft.com/docs,0
https://khanacademy.org/help,0
https://google.com/products,0
https://cloudflare.com,0
http://youtube.com/contact,0
https://netflix.com/contact,0
https://amazon-billing-portal.com/update/check,1
https://bbc.com,0
http://210.114.232.85/billing/free,2
http://169.198.97.135/billing/free,2
http://github.com/contact,0
http://icloud.verify-user.cn/login/now,2
http://amazon-login-service.com/confirm/check,1
http://bankofamerica-alert-portal.com/support/session,1
http://steam-update-portal.com/update/check,1
http://apple-secure-notice.com/confirm/session,1
http://paypal.security-check.xyz/alert/update,2
http://github.com/products,0
